data_date,I1
2013-09-02,20.1
2013-09-03,20.44
2013-09-04,20.31
2013-09-05,20.4
2013-09-06,20.24
2013-09-09,20.4
2013-09-10,20.34
2013-09-11,20.29
2013-09-12,20.13
2013-09-13,20.03
2013-09-16,19.74
2013-09-17,20.1
2013-09-18,19.94
2013-09-22,19.95
2013-09-23,19.83
2013-09-24,20.41
2013-09-25,20.24
2013-09-26,20.13
2013-09-27,19.99
2013-09-29,20.14
2013-09-30,20.41
2013-10-08,20.05
2013-10-09,19.63
2013-10-10,19.85
2013-10-11,19.84
2013-10-12,20.18
2013-10-14,20.34
2013-10-15,20.53
2013-10-16,20.24
2013-10-17,20.29
2013-10-18,19.79
2013-10-21,20.02
2013-10-22,20.07
2013-10-23,20.11
2013-10-24,19.92
2013-10-25,19.68
2013-10-28,19.99
2013-10-29,20.08
2013-10-30,20.33
2013-10-31,19.96
2013-11-01,19.48
2013-11-04,19.63
2013-11-05,20.2
2013-11-06,19.89
2013-11-07,19.55
2013-11-08,20.07
2013-11-11,20.24
2013-11-12,20.11
2013-11-13,19.97
2013-11-14,20.01
2013-11-15,20.06
2013-11-18,20.01
2013-11-19,20.06
2013-11-20,19.69
2013-11-21,19.75
2013-11-22,19.99
2013-11-25,20.25
2013-11-26,20.4
2013-11-27,19.8
2013-11-28,20.14
2013-11-29,20.11
2013-12-02,19.85
2013-12-03,20.07
2013-12-04,20.27
2013-12-05,20.08
2013-12-06,20.3
2013-12-09,19.87
2013-12-10,19.78
2013-12-11,19.81
2013-12-12,20.17
2013-12-13,20.12
2013-12-16,19.71
2013-12-17,20.29
2013-12-18,20.27
2013-12-19,20.13
2013-12-20,19.85
2013-12-23,19.5
2013-12-24,19.85
2013-12-25,20.24
2013-12-26,20.0
2013-12-27,19.89
2013-12-30,19.94
2013-12-31,20.17
2014-01-02,19.94
2014-01-03,19.64
2014-01-06,19.88
2014-01-07,19.93
2014-01-08,20.05
2014-01-09,20.6
2014-01-10,20.42
2014-01-13,20.3
2014-01-14,19.86
2014-01-15,20.02
2014-01-16,19.75
2014-01-17,20.09
2014-01-20,19.92
2014-01-21,19.9
2014-01-22,19.78
2014-01-23,20.13
2014-01-24,19.85
2014-01-26,19.86
2014-01-27,20.48
2014-02-08,20.52
2014-02-10,20.51
2014-02-11,20.88
2014-02-12,20.12
2014-02-13,19.96
2014-02-14,20.49
2014-02-17,20.75
2014-02-18,20.74
2014-02-19,20.18
2014-02-20,20.22
2014-02-21,20.55
2014-02-24,20.44
2014-02-25,19.83
2014-02-26,20.06
2014-02-27,20.18
2014-02-28,19.95
2014-03-03,20.01
2014-03-04,19.9
2014-03-05,20.15
2014-03-06,20.28
2014-03-07,20.33
2014-03-10,20.75
2014-03-11,20.23
2014-03-12,20.28
2014-03-13,20.59
2014-03-14,20.29
2014-03-17,19.91
2014-03-18,20.11
2014-03-19,20.48
2014-03-20,20.36
2014-03-21,20.32
2014-03-24,19.99
2014-03-25,20.54
2014-03-26,20.5
2014-03-27,20.3
2014-03-28,20.19
2014-03-31,20.51
2014-04-01,20.09
2014-04-02,20.21
2014-04-03,20.07
2014-04-04,20.53
2014-04-08,20.39
2014-04-09,20.38
2014-04-10,20.59
2014-04-11,20.01
2014-04-14,20.47
2014-04-15,20.24
2014-04-16,19.56
2014-04-17,20.24
2014-04-18,20.32
2014-04-21,20.57
2014-04-22,20.39
2014-04-23,20.35
2014-04-24,20.05
2014-04-25,20.06
2014-04-28,20.0
2014-04-29,20.46
2014-04-30,20.33
2014-05-04,20.39
2014-05-05,20.37
2014-05-06,20.78
2014-05-07,20.62
2014-05-08,20.02
2014-05-09,20.16
2014-05-12,20.41
2014-05-13,19.94
2014-05-14,20.2
2014-05-15,20.22
2014-05-16,20.25
2014-05-19,20.29
2014-05-20,20.32
2014-05-21,20.49
2014-05-22,20.19
2014-05-23,19.96
2014-05-26,20.43
2014-05-27,19.86
2014-05-28,20.48
2014-05-29,19.87
2014-05-30,20.32
2014-06-03,19.96
2014-06-04,20.28
2014-06-05,20.13
2014-06-06,20.21
2014-06-09,20.07
2014-06-10,20.19
2014-06-11,20.2
2014-06-12,19.97
2014-06-13,19.88
2014-06-16,20.17
2014-06-17,19.91
2014-06-18,20.35
2014-06-19,20.16
2014-06-20,19.77
2014-06-23,19.96
2014-06-24,20.13
2014-06-25,19.96
2014-06-26,20.49
2014-06-27,20.79
2014-06-30,20.78
2014-07-01,20.6
2014-07-02,20.7
2014-07-03,20.79
2014-07-04,20.56
2014-07-07,20.34
2014-07-08,20.32
2014-07-09,20.83
2014-07-10,20.68
2014-07-11,20.73
2014-07-14,20.41
2014-07-15,20.17
2014-07-16,20.38
2014-07-17,20.21
2014-07-18,20.14
2014-07-21,20.62
2014-07-22,20.28
2014-07-23,20.8
2014-07-24,20.34
2014-07-25,20.0
2014-07-28,20.39
2014-07-29,20.33
2014-07-30,20.06
