data_date,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
2012-09-21,2.137e+01,,,,,,,,,
2012-09-28,21.48,,,,,,,,,
2012-10-12,21.96,,,,,,,,,
2012-10-19,21.32,,,,,,,,,
2012-10-26,21.08,,,,,,,,,
2012-11-02,21.68,,,,,,,,,
2012-11-09,22.24,,,,,,,,,
2012-11-16,21.54,,,,,,,,,
2012-11-23,21.99,,,,,30.36,,20.64,17.33,16.54
2012-11-30,21.43,,,,,30.12,,20.61,13.64,16.15
2012-12-07,22.05,,,,,32.52,,20.25,15.58,15.79
2012-12-14,21.88,,,,,32.04,,19.66,16.65,15.87
2012-12-21,21.37,,,,,29.16,,19.57,15.28,16.7
2012-12-28,20.86,,,,,29.34,,19.23,12.47,16.99
2013-01-04,21.24,23.31,17.69,19.28,19.2,29.1,,20.28,16.77,16.58
2013-01-05,21.51,25.84,16.14,21.1,18.83,29.1,,19.87,16.7,16.58
2013-01-06,21.44,26.19,16.59,20.98,17.86,29.1,,19.43,16.94,16.58
2013-01-07,21.36,25.33,16.42,20.34,18.17,29.1,,19.84,18.83,16.58
2013-01-08,21.26,24.59,17.33,20.37,19.45,29.1,,20.41,15.3,16.58
2013-01-09,21.11,26.95,16.92,20.13,18.46,29.1,,19.71,16.65,16.58
2013-01-10,21.05,26.65,16.25,20.54,17.91,29.1,,19.39,16.69,16.58
2013-01-11,21.0,25.15,16.08,20.29,18.22,29.1,,19.34,17.13,16.3
2013-01-14,20.74,25.95,16.19,19.98,18.76,28.57,,19.67,15.41,16.3
2013-01-15,20.96,26.76,14.48,19.29,18.83,28.57,,18.27,18.99,16.3
2013-01-16,20.94,26.83,17.05,21.09,18.4,28.57,,20.13,16.55,16.3
2013-01-17,21.18,26.71,16.09,25.0,19.27,28.57,,20.94,14.76,16.3
2013-01-18,20.89,26.99,16.5,20.64,17.68,28.33,,19.46,15.28,16.37
2013-01-21,20.72,26.9,17.02,19.97,17.84,28.33,,19.79,15.46,16.37
2013-01-22,20.94,27.44,16.4,20.7,18.3,28.33,,19.72,17.84,16.37
2013-01-23,21.06,27.44,16.66,20.65,18.39,28.33,,19.78,17.17,16.37
2013-01-24,20.96,27.33,16.63,19.09,18.81,28.33,,20.29,16.52,16.37
2013-01-25,21.33,26.99,16.18,19.22,18.95,29.4,,19.82,17.68,16.75
2013-01-28,21.52,26.37,16.36,19.9,17.87,29.4,,19.44,18.39,16.75
2013-01-29,21.08,27.19,16.1,20.34,17.51,29.4,,19.9,14.52,16.75
2013-01-30,21.58,27.01,16.23,20.86,17.66,29.4,,20.27,17.42,16.75
2013-01-31,21.33,28.08,16.21,21.0,17.68,29.4,,19.89,15.6,16.75
2013-02-01,21.05,24.86,16.87,18.94,18.34,28.54,,19.48,17.28,16.88
2013-02-04,21.05,26.48,16.7,19.3,17.85,28.54,,19.35,16.71,16.88
2013-02-05,21.02,26.96,16.64,19.48,17.86,28.54,,19.79,16.39,16.88
2013-02-06,20.98,27.0,17.08,18.84,18.11,28.54,,19.49,15.09,16.88
2013-02-07,21.0,27.21,16.6,19.06,17.55,28.54,,19.4,16.93,16.88
2013-02-08,21.0,27.21,16.6,19.06,17.55,28.54,,19.4,16.93,16.88
2013-02-16,20.96,25.46,15.78,20.52,18.65,28.54,,20.4,15.74,16.48
2013-02-17,20.86,27.02,17.9,18.6,17.61,28.54,,19.96,15.6,16.48
2013-02-18,21.2,26.86,16.8,19.13,18.94,28.54,,20.53,17.92,16.48
2013-02-19,20.66,25.01,16.44,19.82,18.58,28.54,,20.25,15.91,16.48
2013-02-20,20.64,24.28,17.04,19.75,17.97,27.59,,19.82,16.6,16.48
2013-02-21,20.43,25.15,17.13,17.55,17.89,27.59,,18.88,16.3,16.48
2013-02-22,20.31,24.89,16.46,19.5,17.39,26.87,,19.48,16.22,15.7
2013-02-25,20.55,23.94,15.66,20.48,18.91,26.87,,20.6,17.14,15.7
2013-02-26,20.38,23.48,16.62,20.04,18.0,26.87,,19.42,17.79,15.7
2013-02-27,20.44,24.23,16.33,20.28,18.43,26.87,,20.23,16.8,15.7
2013-02-28,20.57,23.64,16.53,20.88,18.95,26.87,,20.84,16.89,15.7
2013-03-01,20.69,23.0,15.19,19.43,17.32,27.89,,19.84,15.36,15.54
2013-03-04,21.1,21.65,15.11,20.46,18.59,27.89,,20.6,17.86,15.54
2013-03-05,20.3,23.43,15.7,19.88,18.39,27.89,,20.16,14.4,15.54
2013-03-06,20.62,23.43,15.6,19.73,18.49,27.89,,20.18,17.51,15.54
2013-03-07,20.59,24.67,16.3,19.5,17.57,27.89,,19.56,17.02,15.54
2013-03-08,20.69,26.0,16.23,20.56,18.6,28.3,,20.04,15.6,15.62
2013-03-11,20.65,23.92,15.42,20.25,18.47,28.3,,19.47,15.47,15.62
2013-03-12,20.47,24.65,15.59,20.09,18.54,28.3,,19.43,16.05,15.62
2013-03-13,20.72,24.63,15.29,20.89,19.02,28.3,,20.68,16.05,15.62
2013-03-14,20.61,24.81,15.11,20.17,18.39,28.3,,19.87,16.61,15.62
2013-03-15,20.23,22.19,15.99,19.86,18.41,26.68,,19.56,18.05,15.22
2013-03-18,20.14,21.93,13.66,19.63,18.43,26.68,,19.42,17.42,15.22
2013-03-19,20.21,22.6,15.69,20.56,18.55,26.68,,19.49,17.24,15.22
2013-03-20,20.2,23.23,15.61,19.41,19.29,26.68,,19.85,15.18,15.22
2013-03-21,20.06,23.54,16.83,19.37,17.32,26.68,,18.74,18.65,15.22
2013-03-22,20.48,23.0,16.02,19.17,17.9,26.92,,19.21,18.45,15.92
2013-03-25,20.14,23.94,16.05,19.69,17.78,26.92,,19.41,14.73,15.92
2013-03-26,20.54,23.48,16.34,20.24,17.88,26.92,,19.75,18.67,15.92
2013-03-27,20.31,22.6,15.57,18.63,17.98,26.92,,19.16,17.59,15.92
2013-03-28,20.29,24.52,16.61,18.94,17.52,26.92,,19.12,16.72,15.92
2013-03-29,20.53,20.46,14.67,19.78,17.49,28.75,,19.45,15.6,15.03
2013-04-01,20.48,22.08,15.57,18.58,15.93,28.75,,18.64,16.8,15.03
